2025-10-30T09:36:02.546+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Running preprocessing …
2025-10-30T09:36:50.365+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\preprocessing\interfaces.py:128 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing dataframes
2025-10-30T09:45:39.235+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Preprocessing done
2025-10-30T09:45:39.996+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Running clustering …
2025-10-30T09:45:39.996+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Clustering + PCA …
2025-10-30T09:45:41.590+00:00 | DEBUG | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\clustering\pipeline.py:176 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Merged input shapes: {'nutrition': (231637, 5), 'seasonal': (231637, 3), 'rating': (231637, 9), 'complexity': (231637, 9), 'ingredients': (231637, 15)}
2025-10-30T09:45:41.590+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\mangetamain\clustering\pipeline.py:186 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Merged recipes shape: (231637, 41)
2025-10-30T09:45:45.099+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Clustering done → data\clustering\recipes_clustering_with_pca.csv (231637 rows)
2025-10-30T09:45:45.099+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Merging all tables …
2025-10-30T09:45:45.099+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Merging preprocessed tables and clustering …
2025-10-30T09:45:46.470+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Merged rows: 231637
2025-10-30T09:45:46.480+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Saving merged table …
2025-10-30T09:46:02.402+00:00 | INFO | C:\Users\moura\Documents\Studies\TP\KitBigData\clean_project\Projet_Mangetamain\src\app\run_all.py:73 | run=c9a8f01420e24d2e96caec669a5f6254 | user=anonymous | session=43b5f4ee97f54233ae42fef7678ad223 | Saved merged gzip → data\clustering\recipes_merged.csv.gz
